PPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPP
P                                          P
P                                          P
P                     E        E           P
P                    PPPPPPPPPPP           P
P                                          P
P                                          P
P                                          P
P    PPPPPPPP                              P
P                                          P
P                          PPPPPPP         P
P                 PPPPPP                   P
P                                          P
P         PPPPPPP                          P
P                                          P
P                     PPPPPP               P
P                                          P
P   PPPPPPPPPPP                            P
P                                          P
P                 PPPPPPPPPPP              P
P                                          P
P                                          P
P                                          P
P                                          P
PPPPPPPPPPPPPPPPPPP    PPPPPPPPPPPPPPPPPPPPP


          PPPPPPPP PPPPPPPPPPPP




              PPPPPPPPPP
